timestamp,open,high,low,close,volume
2020-08-07,123.5000,125.0700,123.2100,124.9600,3651226
2020-08-06,125.0000,126.2600,125.0000,126.1200,3417131
2020-08-05,126.7300,126.7500,124.6100,125.4500,3675400
2020-08-04,123.8200,125.8600,123.8200,125.8400,3431366
2020-08-03,123.5000,124.4100,122.1500,124.3100,3526574
2020-07-31,122.7100,122.9900,121.0900,122.9400,5277652
2020-07-30,123.7100,123.9046,121.6400,122.9000,3988062
2020-07-29,124.5600,125.9900,124.0700,125.3200,2833141
2020-07-28,125.8200,126.3400,124.1500,124.4700,4178176
2020-07-27,124.8600,126.3200,124.7100,126.2100,3733547
2020-07-24,126.4800,127.6459,125.5000,125.7900,3531076
2020-07-23,129.1000,129.3700,127.1500,127.3300,4220136
2020-07-22,125.9000,129.4700,125.8000,128.6700,8195366
2020-07-21,131.1600,132.1700,125.8000,126.0600,15364900
2020-07-20,126.0700,127.0700,125.1400,126.3700,9927700
2020-07-17,124.3900,125.6300,123.2000,125.1100,3984600
2020-07-16,122.6800,124.4800,122.1600,124.0100,4330900
2020-07-15,122.4000,123.9600,122.1500,123.0000,4473400
2020-07-14,118.6200,120.8900,117.9200,120.6000,4534400
2020-07-13,119.7800,120.9900,118.6600,119.2000,4650700
2020-07-10,115.5000,118.5700,115.2900,118.3500,4285700
2020-07-09,118.0000,118.0000,115.2000,115.7100,4763000
2020-07-08,118.0600,118.6400,116.4800,117.7100,5192800
2020-07-07,119.0000,119.5100,117.3300,117.5800,4278100
2020-07-06,121.2500,121.8500,119.4600,120.1900,4045400
2020-07-02,119.6900,121.4200,119.2600,119.7000,3745800
2020-07-01,120.2700,121.2300,118.3700,118.5400,4655800
2020-06-30,119.1900,121.2000,119.0000,120.7700,3919500
2020-06-29,117.9800,119.7800,117.3700,119.7500,4159488
2020-06-26,118.2600,118.9900,116.2600,117.1900,10750100
2020-06-25,116.7600,119.2100,116.1000,119.0300,6130600
2020-06-24,118.3200,118.3200,115.8800,116.4200,6751000
2020-06-23,122.0100,122.9000,119.2300,119.4100,6632600
2020-06-22,122.1200,122.5000,120.5300,121.0700,4773500
2020-06-19,126.1700,126.8200,122.2500,122.4700,8099000
2020-06-18,123.0000,124.4000,122.3300,124.1600,2865400
2020-06-17,125.8300,126.2500,123.4000,124.1500,3154200
2020-06-16,125.0000,127.5000,123.1600,125.1500,5606700
2020-06-15,119.1900,122.3700,118.2900,121.6500,5149100
2020-06-12,121.2500,123.1200,119.2800,121.9100,6218100
2020-06-11,126.0300,126.1000,117.8400,118.0100,11763600
2020-06-10,132.1500,132.2300,129.8000,129.8700,4734800
2020-06-09,133.5200,133.6000,131.0200,131.8700,5393600
2020-06-08,132.2700,135.8800,132.2700,135.7500,5370500
2020-06-05,133.8900,134.2300,131.7500,132.0600,5892700
2020-06-04,127.7800,128.9500,127.0200,128.8900,3864800
2020-06-03,127.1500,129.6000,127.0000,129.0500,3917700
2020-06-02,125.6700,126.0000,124.6600,126.0000,2978100
2020-06-01,124.6400,125.7500,124.0300,124.8900,2871700
2020-05-29,123.6700,125.1300,122.2400,124.9000,7930500
2020-05-28,126.8700,126.9700,124.2200,124.5300,3915300
2020-05-27,123.9400,125.8300,123.4700,125.5400,5727500
2020-05-26,121.3000,122.6200,121.0100,121.7600,5469300
