Date,Name,Adj Close,Close,High,Low,Open,Volume
1/2/2020,MSFT,159.7375946,160.6199951,160.7299957,158.3300018,158.7799988,22622100
1/3/2020,MSFT,157.7485809,158.6199951,159.9499969,158.0599976,158.3200073,21116200
1/6/2020,MSFT,158.1563416,159.0299988,159.1000061,156.5099945,157.0800018,20813700
1/7/2020,MSFT,156.7143097,157.5800018,159.6699982,157.3200073,159.3200073,21634100
1/8/2020,MSFT,159.210495,160.0899963,160.8000031,157.9499969,158.9299927,27746500
1/9/2020,MSFT,161.1995087,162.0899963,162.2200012,161.0299988,161.8399963,21385000
1/10/2020,MSFT,160.4536438,161.3399963,163.2200012,161.1799927,162.8200073,20725900
1/13/2020,MSFT,162.3829803,163.2799988,163.3099976,161.2599945,161.7599945,21626500
1/14/2020,MSFT,161.2393036,162.1300049,163.6000061,161.7200012,163.3899994,23477400
1/15/2020,MSFT,162.2835388,163.1799927,163.9400024,162.5700073,162.6199951,21417900
1/16/2020,MSFT,165.2571106,166.1699982,166.2400055,164.0299988,164.3500061,23865400
1/17/2020,MSFT,166.1820068,167.1000061,167.4700012,165.4299927,167.4199982,34371700
1/21/2020,MSFT,165.5852966,166.5,168.1900024,166.4299927,166.6799927,29517200
1/22/2020,MSFT,164.7896881,165.6999969,167.4900055,165.6799927,167.3999939,24138800
1/23/2020,MSFT,165.8040924,166.7200012,166.8000031,165.2700043,166.1900024,19680800
1/24/2020,MSFT,164.133316,165.0399933,167.5299988,164.4499969,167.5099945,24918100
1/27/2020,MSFT,161.3884735,162.2799988,163.3800049,160.1999969,161.1499939,32078100
1/28/2020,MSFT,164.5510254,165.4600067,165.7599945,163.0700073,163.7799988,24899900
1/29/2020,MSFT,167.1168213,168.0399933,168.75,165.6900024,167.8399963,34754500
1/30/2020,MSFT,171.8307953,172.7799988,174.0500031,170.7899933,174.0500031,51597500
1/31/2020,MSFT,169.2947998,170.2299957,172.3999939,169.5800018,172.2100067,36142700
2/3/2020,MSFT,173.4220123,174.3800049,174.5,170.3999939,170.4299927,30149100
2/4/2020,MSFT,179.1304779,180.1199951,180.6399994,176.3099976,177.1399994,36433300
2/5/2020,MSFT,178.9116821,179.8999939,184.1999969,178.4100037,184.0299988,39186300
2/6/2020,MSFT,182.6212006,183.6300049,183.8200073,180.0599976,180.9700012,27751400
2/7/2020,MSFT,182.8797607,183.8899994,185.6300049,182.4799957,182.8500061,33515600
2/10/2020,MSFT,187.6633301,188.6999969,188.8399963,183.25,183.5800018,35844300
2/11/2020,MSFT,183.4267426,184.4400024,190.6999969,183.5,190.6499939,53159900
2/12/2020,MSFT,183.6952515,184.7100067,185.8500061,181.8500061,185.5800018,47062900
2/13/2020,MSFT,182.7007599,183.7100067,186.2299957,182.8699951,183.0800018,35295800
2/14/2020,MSFT,184.3317413,185.3500061,185.4100037,182.6499939,183.25,23149500
2/18/2020,MSFT,186.201416,187.2299957,187.6999969,185.5,185.6100006,27792200
2/19/2020,MSFT,186.7598572,187.2799988,188.1799927,186.4700012,188.0599976,29997500
2/20/2020,MSFT,183.9078064,184.4199982,187.25,181.1000061,186.9499969,36862400
2/21/2020,MSFT,178.0939941,178.5899963,183.5,177.25,183.1699982,48572600
2/24/2020,MSFT,170.4153748,170.8899994,174.5500031,163.2299957,167.7700043,68311100
2/25/2020,MSFT,167.6032257,168.0700073,174.8399963,167.6499939,174.1999969,68073300
2/26/2020,MSFT,169.6973724,170.1699982,173.2599945,168.2100067,169.7100067,56206100
2/27/2020,MSFT,157.7406769,158.1799927,167.0299988,157.9799957,163.3200073,93033600
2/28/2020,MSFT,161.5600433,162.0099945,163.7100067,152,152.4100037,97073600
3/2/2020,MSFT,172.3101044,172.7899933,172.9199982,162.3099976,165.3099976,71030800
3/3/2020,MSFT,164.0531006,164.5099945,175,162.2599945,173.8000031,71677000
3/4/2020,MSFT,170.0763245,170.5500031,170.6999969,165.6199951,168.4900055,49814400
3/5/2020,MSFT,165.8082123,166.2700043,170.8699951,165.6900024,166.0500031,47817300
3/6/2020,MSFT,161.1212769,161.5700073,163.1100006,156,162.6100006,72821100
3/9/2020,MSFT,150.2016754,150.6199951,157.75,150,151,70419300
3/10/2020,MSFT,160.4730682,160.9199982,161.0299988,152.5800018,158.1600037,65354400
3/11/2020,MSFT,153.2033234,153.6300049,157.6999969,151.1499939,157.1300049,56371600
3/12/2020,MSFT,138.6737823,139.0599976,153.4700012,138.5800018,145.3000031,93226400
3/13/2020,MSFT,158.3888702,158.8300018,161.9100037,140.7299957,147.5,92727400
3/16/2020,MSFT,135.0438843,135.4199982,149.3500061,135,140,87905900
3/17/2020,MSFT,146.1629333,146.5700073,147.5,135,140,81059800
3/18/2020,MSFT,140.0100555,140.3999939,146,135.0200043,138,81593200
3/19/2020,MSFT,142.3136597,142.7100067,150.1499939,139,142.7700043,85922700
3/20/2020,MSFT,136.9685364,137.3500061,147.1000061,135.8600006,146,84866200
3/23/2020,MSFT,135.6023407,135.9799957,140.5700073,132.5200043,137.0099945,78975200
3/24/2020,MSFT,147.928009,148.3399963,149.6000061,141.2700043,143.75,82516700
3/25/2020,MSFT,146.5119476,146.9199982,154.3300018,144.4400024,148.9100037,75638200
3/26/2020,MSFT,155.6764374,156.1100006,156.6600037,148.3699951,148.3999939,64568100
3/27/2020,MSFT,149.2842255,149.6999969,154.8899994,149.1999969,151.75,57042300
3/30/2020,MSFT,159.7849884,160.2299957,160.6000061,150.0099945,152.4400024,63420300
3/31/2020,MSFT,157.2719879,157.7100067,164.7799988,156.5599976,159.3999939,77927200
4/1/2020,MSFT,151.6875458,152.1100006,157.75,150.8200073,153,57969900
4/2/2020,MSFT,154.8287811,155.2599945,155.4799957,150.3600006,151.8600006,49630700
4/3/2020,MSFT,153.402771,153.8300018,157.3800049,152.1900024,155.1000061,41243300
4/6/2020,MSFT,164.8109894,165.2700043,166.5,157.5800018,160.3200073,67111700
4/7/2020,MSFT,163.0359344,163.4900055,170,163.2599945,169.5899963,62769000
4/8/2020,MSFT,164.6713867,165.1300049,166.6699982,163.5,165.6699982,48318200
4/9/2020,MSFT,164.6813507,165.1399994,167.3699951,163.3300018,166.3600006,51431800
4/13/2020,MSFT,165.0503235,165.5099945,165.5700073,162.3000031,164.3500061,41905300
4/14/2020,MSFT,173.2175751,173.6999969,173.75,168,169,52874300
4/15/2020,MSFT,171.4026337,171.8800049,173.5700073,169.2400055,171.1999969,40940800
4/16/2020,MSFT,176.5482941,177.0399933,177.2799988,172.8999939,174.3000031,50479600
4/17/2020,MSFT,178.1039734,178.6000061,180,175.8699951,179.5,52765600
4/20/2020,MSFT,174.5737915,175.0599976,178.75,174.9900055,176.6300049,36669600
4/21/2020,MSFT,167.3539124,167.8200073,173.6699982,166.1100006,173.5,56203700
4/22/2020,MSFT,173.0380859,173.5200043,174,170.8200073,171.3899994,34651600
4/23/2020,MSFT,170.9439087,171.4199982,175.0599976,170.9100037,174.1100006,32790800
4/24/2020,MSFT,174.0652161,174.5500031,174.5599976,170.7100067,172.0599976,34305300
4/27/2020,MSFT,173.5666046,174.0500031,176.8999939,173.3000031,176.5899963,33194400
4/28/2020,MSFT,169.3383789,169.8099976,175.6699982,169.3899994,175.5899963,34392700
